ons_id;ons_region_id;constituency_name;county_name;region_name;country_name;constituency_type;declaration_time;mp_firstname;mp_surname;mp_gender;result;first_party;second_party;electorate;valid_votes;invalid_votes;majority;con;lab;ld;brexit;green;snp;pc;dup;sf;sdlp;uup;alliance;other;other_winner;mp_fullname;majority_percent;majority_rank;turnout_const;turnout_reg;turnout_uk;turnout_2017
E14000625;E12000004;Charnwood;Leicestershire;East Midlands;England;County;12/13/19 4:36;Edward;Argar;Male;Con hold;Con;Lab;79534;55365;266;22397;35121;12724;4856;0;2664;0;0;0;0;0;0;0;0;0;Edward Argar;0,404533550076763;118;0,696117383760404;0,671701751982193;0,673108310793613;0,706741299586274
E14000626;E12000008;Chatham and Aylesford;Kent;South East;England;County;12/13/19 4:50;Tracey;Crouch;Female;Con hold;Con;Lab;71642;43340;159;18540;28856;10316;2866;0;1090;0;0;0;0;0;0;0;212;0;Tracey Crouch;0,427780341485925;87;0,60495240222216;0,702066082349098;0,673108310793613;0,63747000099405
E14000627;E12000002;Cheadle;Greater Manchester;North West;England;Borough;12/13/19 4:22;Mary;Robinson;Female;Con hold;Con;LD;74577;55903;215;2336;25694;6851;23358;0;0;0;0;0;0;0;0;0;0;0;Mary Robinson;0,0417866661896499;594;0,749601083443957;0,656235607475574;0,673108310793613;0,743426967822794
E14000628;E12000006;Chelmsford;Essex;East;England;Borough;12/13/19 1:57;Vicky;Ford;Female;Con hold;Con;LD;80394;57122;224;17621;31934;10295;14313;0;0;0;0;0;0;0;0;0;580;0;Vicky Ford;0,308480095234761;239;0,710525661118989;0,682459959038198;0,673108310793613;0,701698094579919
E14000629;E12000007;Chelsea and Fulham;London;London;England;Borough;12/13/19 3:06;Greg;Hands;Male;Con hold;Con;LD;67110;46821;150;11241;23345;10872;12104;0;0;0;0;0;0;0;0;0;500;0;Greg Hands;0,240084577433203;320;0,69767545820295;0,67469636048204;0,673108310793613;0,661059502887271
E14000630;E12000009;Cheltenham;Gloucestershire;South West;England;Borough;12/13/19 6:29;Alex;Chalk;Male;Con hold;Con;LD;81044;59357;153;981;28486;2921;27505;0;0;0;0;0;0;0;0;0;445;0;Alex Chalk;0,0165271155887258;627;0,732404619712749;0,720191104120187;0,673108310793613;0,722787088922133
E14000631;E12000008;Chesham and Amersham;Buckinghamshire;South East;England;County;12/13/19 3:46;Cheryl;Gillan;Female;Con hold;Con;LD;72542;55685;289;16223;30850;7166;14627;0;3042;0;0;0;0;0;0;0;0;0;Cheryl Gillan;0,291335189009608;260;0,767624272835047;0,702066082349098;0,673108310793613;0,771094425991571
E14000632;E12000004;Chesterfield;Derbyshire;East Midlands;England;Borough;12/13/19 4:23;Toby;Perkins;Male;Lab hold;Lab;Con;71034;45186;136;1451;16720;18171;3985;4771;1148;0;0;0;0;0;0;0;391;0;Toby Perkins;0,0321117160182357;609;0,636117915364473;0,671701751982193;0,673108310793613;0,665015471284463
E14000633;E12000008;Chichester;West Sussex;South East;England;County;12/13/19 3:59;Gillian;Keegan;Female;Con hold;Con;LD;85499;61243;251;21490;35402;9069;13912;0;2527;0;0;0;0;0;0;0;333;0;Gillian Keegan;0,350897245399474;185;0,716300775447666;0,702066082349098;0,673108310793613;0,704992293301644
E14000634;E12000007;Chingford and Woodford Green;London;London;England;County;12/13/19 2:30;Iain;Duncan Smith;Male;Con hold;Con;Lab;65393;48444;235;1262;23481;22219;2744;0;0;0;0;0;0;0;0;0;0;0;Iain Duncan Smith;0,0260506977128231;617;0,740813236890799;0,67469636048204;0,673108310793613;0,711983383365172
E14000635;E12000009;Chippenham;Wiltshire;South West;England;County;12/13/19 4:00;Michelle;Donelan;Female;Con hold;Con;LD;77221;57099;321;11288;30994;6399;19706;0;0;0;0;0;0;0;0;0;0;0;Michelle Donelan;0,197691728401548;368;0,739423213892594;0,720191104120187;0,673108310793613;0,747592631358593
E14000636;E12000007;Chipping Barnet;London;London;England;Borough;12/13/19 5:34;Theresa;Villiers;Female;Con hold;Con;Lab;79960;57569;193;1212;25745;24533;5932;0;1288;0;0;0;0;0;0;0;71;0;Theresa Villiers;0,0210529972728378;621;0,719972486243122;0,67469636048204;0,673108310793613;0,717747157398534
E14000637;E12000002;Chorley;Lancashire;North West;England;County;12/13/19 1:40;Lindsay;Hoyle;Male;Spk gain from Lab;Spk;Ind;77072;39870;1303;17392;0;0;0;0;3600;0;0;0;0;0;0;0;36270;26831;Lindsay Hoyle;0,436217707549536;79;0,517308490761885;0,656235607475574;0,673108310793613;0,728155593947961
E14000638;E12000009;Christchurch;Dorset;South West;England;County;12/13/19 5:34;Christopher;Chope;Male;Con hold;Con;LD;71520;51951;297;24617;33894;6568;9277;0;2212;0;0;0;0;0;0;0;0;0;Christopher Chope;0,473850358992127;51;0,726384228187919;0,720191104120187;0,673108310793613;0,720163848155997
E14000639;E12000007;Cities Of London and Westminster;London;London;England;Borough;12/13/19 2:58;Nickie;Aiken;Female;Con hold;Con;LD;63700;42723;140;3953;17049;11624;13096;0;728;0;0;0;0;0;0;0;226;0;Nickie Aiken;0,0925262739039861;526;0,670690737833595;0,67469636048204;0,673108310793613;0,62818325126355
E14000640;E12000002;City Of Chester;Cheshire;North West;England;County;12/13/19 4:03;Christian;Matheson;Male;Lab hold;Lab;Con;76057;54560;137;6164;20918;27082;3734;1388;1438;0;0;0;0;0;0;0;0;0;Christian Matheson;0,112976539589443;485;0,717356719302628;0,656235607475574;0,673108310793613;0,774386143098313
E14000641;E12000001;City Of Durham;Durham;North East;England;County;12/13/19 3:08;Mary;Foy;Female;Lab hold;Lab;Con;71271;48859;175;5025;15506;20531;7935;3252;1635;0;0;0;0;0;0;0;0;0;Mary Foy;0,102846967805317;502;0,68553829748425;0,642070829068157;0,673108310793613;0,679356688972614
E14000642;E12000006;Clacton;Essex;East;England;County;12/13/19 3:30;Giles;Watling;Male;Con hold;Con;Lab;70930;43506;116;24702;31438;6736;2541;0;1225;0;0;0;0;0;0;0;1566;0;Giles Watling;0,56778375396497;24;0,613365289722261;0,682459959038198;0,673108310793613;0,643832220050754
