,areaname,population,date,newcasesbypublishdate,cases_per_100k
3613,South West,5616000,02/09/2020,46,0.8190883190883191
2005,North East,2597000,02/09/2020,95,3.6580670003850595
4685,Yorkshire and the Humber,5486000,02/09/2020,191,3.4815895005468462
3077,South East,9175000,02/09/2020,103,1.122615803814714
4149,West Midlands,2928000,02/09/2020,145,4.952185792349726
933,East of England,5847000,02/09/2020,81,1.3853258081067215
568,East of England,5847000,02/09/2021,2187,37.40379681888148
32,East Midlands,4533000,02/09/2021,2591,57.15861460401501
2712,South East,9175000,02/09/2021,4815,52.479564032697546
3784,West Midlands,2928000,02/09/2021,2740,93.5792349726776
2176,North West,7300000,02/09/2021,3915,53.630136986301366
1640,North East,2597000,02/09/2021,1726,66.46130150173276
5485,Northern Ireland,1885000,02/09/2021,793,42.06896551724138
1104,London,8899375,02/09/2021,3377,37.94648500596952
6085,Scotland,5454000,02/09/2021,6400,117.34506784011735
3248,South West,5616000,02/09/2021,3347,59.59757834757835
4878,Wales,3136000,02/09/2021,2275,72.54464285714286
4320,Yorkshire and the Humber,5486000,02/09/2021,3430,62.52278527160043
5213,Wales,3136000,02/10/2020,462,14.732142857142858
367,East Midlands,4533000,02/10/2020,389,8.5815133465696
1439,London,8899375,02/10/2020,497,5.5846618442306335
903,East of England,5847000,02/10/2020,225,3.8481272447408927
1975,North East,2597000,02/10/2020,421,16.21101270696958
3047,South East,9175000,02/10/2020,272,2.9645776566757496
4119,West Midlands,2928000,02/10/2020,408,13.934426229508196
3583,South West,5616000,02/10/2020,193,3.4366096866096867
4655,Yorkshire and the Humber,5486000,02/10/2020,718,13.087860007291287
5820,Northern Ireland,1885000,02/10/2020,934,49.54907161803713
2511,North West,7300000,02/10/2020,1603,21.95890410958904
6420,Scotland,5454000,02/10/2020,775,14.209754308764209
5455,Northern Ireland,1885000,02/10/2021,992,52.62599469496021
2,East Midlands,4533000,02/10/2021,3291,72.60092653871608
3754,West Midlands,2928000,02/10/2021,3416,116.66666666666667
2682,South East,9175000,02/10/2021,3530,38.474114441416894
3218,South West,5616000,02/10/2021,2369,42.183048433048434
4848,Wales,3136000,02/10/2021,0,0.0
6055,Scotland,5454000,02/10/2021,2515,46.11294462779612
2146,North West,7300000,02/10/2021,3927,53.79452054794521
1074,London,8899375,02/10/2021,2344,26.338928295526372
4290,Yorkshire and the Humber,5486000,02/10/2021,2896,52.78891724389354
1610,North East,2597000,02/10/2021,1301,50.09626492106276
538,East of England,5847000,02/10/2021,2632,45.014537369591245
5789,Northern Ireland,1885000,02/11/2020,493,26.153846153846153
872,East of England,5847000,02/11/2020,867,14.82811698306824
4088,West Midlands,2928000,02/11/2020,1726,58.94808743169399
1944,North East,2597000,02/11/2020,1039,40.00770119368502
5182,Wales,3136000,02/11/2020,1646,52.48724489795918
6389,Scotland,5454000,02/11/2020,951,17.436743674367438
3552,South West,5616000,02/11/2020,1084,19.301994301994302
