Political party;Region;Number of people
D. The New Right;1. ODENSE ØST;682
D. The New Right;2. ODENSE VEST;645
D. The New Right;3. ODENSE SYD;794
D. The New Right;4. ASSENS;572
D. The New Right;5. MIDDELFART;911
D. The New Right;6. NYBORG;764
D. The New Right;7. SVENDBORG;862
D. The New Right;8. FAABORG;696
D. The New Right;SYDJYLLANDS STORKREDS;17825
D. The New Right;1. SØNDERBORG;2151
D. The New Right;2. AABENRAA;1593
D. The New Right;3. TØNDER;999
D. The New Right;4. ESBJERG BY;1457
D. The New Right;5. ESBJERG OMEGN;1375
D. The New Right;6. VARDE;1191
D. The New Right;7. VEJEN;1817
D. The New Right;8. VEJLE NORD;941
D. The New Right;9. VEJLE SYD;1126
D. The New Right;10. FREDERICIA;1105
D. The New Right;11. KOLDING NORD;990
D. The New Right;12. KOLDING SYD;1294
D. The New Right;13. HADERSLEV;1786
D. The New Right;MIDTJYLLAND-NORDJYLLAND;22703
D. The New Right;ØSTJYLLANDS STORKREDS;9797
D. The New Right;1. ÅRHUS SYD;945
D. The New Right;2. ÅRHUS VEST;992
D. The New Right;3. ÅRHUS NORD;827
D. The New Right;4. ÅRHUS ØST;967
D. The New Right;5. DJURS;1154
D. The New Right;6. RANDERS NORD;575
D. The New Right;7. RANDERS SYD;686
D. The New Right;8. FAVRSKOV;619
D. The New Right;9. SKANDERBORG;1084
D. The New Right;10. HORSENS;1253
D. The New Right;11. HEDENSTED;695
D. The New Right;VESTJYLLANDS STORKREDS;5464
D. The New Right;9. HERNING NORD;525
D. The New Right;10. HOLSTEBRO;563
D. The New Right;11. RINGKØBING;536
D. The New Right;1. STRUER;424
D. The New Right;2. SKIVE;533
D. The New Right;3. VIBORG VEST;445
D. The New Right;4. VIBORG ØST;406
D. The New Right;5. SILKEBORG NORD;562
D. The New Right;6. SILKEBORG SYD;490
D. The New Right;7. IKAST;502
D. The New Right;8. HERNING SYD;478
D. The New Right;NORDJYLLANDS STORKREDS;7442
D. The New Right;1. FREDERIKSHAVN;1036
D. The New Right;2. HJØRRING;976
D. The New Right;3. BRØNDERSLEV;1117
D. The New Right;4. THISTED;600
D. The New Right;5. HIMMERLAND;871
D. The New Right;6. MARIAGERFJORD;483
D. The New Right;7. AALBORG ØST;835
D. The New Right;8. AALBORG VEST;734
D. The New Right;9. AALBORG NORD;790
E. Klaus Riskær Pedersen;All DENMARK;29600
E. Klaus Riskær Pedersen;HOVEDSTADEN;9837
E. Klaus Riskær Pedersen;KØBENHAVNS STORKREDS;4382
E. Klaus Riskær Pedersen;1. ØSTERBRO;391
E. Klaus Riskær Pedersen;2. SUNDBYVESTER;429
E. Klaus Riskær Pedersen;3. INDRE BY;389
E. Klaus Riskær Pedersen;4. SUNDBYØSTER;382
E. Klaus Riskær Pedersen;5. NØRREBRO;408
E. Klaus Riskær Pedersen;6. BISPEBJERG;286
E. Klaus Riskær Pedersen;7. BRØNSHØJ;407
E. Klaus Riskær Pedersen;8. VALBY;329
E. Klaus Riskær Pedersen;9. VESTERBRO;419
