Political party;Region;Number of people
Ballot with drawing, writing or sticker;5. FAXE;2
Ballot with drawing, writing or sticker;6. KØGE;10
Ballot with drawing, writing or sticker;7. GREVE;10
Ballot with drawing, writing or sticker;8. ROSKILDE;9
Ballot with drawing, writing or sticker;9. HOLBÆK;3
Ballot with drawing, writing or sticker;10. KALUNDBORG;1
Ballot with drawing, writing or sticker;11. RINGSTED;1
Ballot with drawing, writing or sticker;12. SLAGELSE;5
Ballot with drawing, writing or sticker;FYNS STORKREDS;49
Ballot with drawing, writing or sticker;1. ODENSE ØST;11
Ballot with drawing, writing or sticker;2. ODENSE VEST;13
Ballot with drawing, writing or sticker;3. ODENSE SYD;4
Ballot with drawing, writing or sticker;4. ASSENS;1
Ballot with drawing, writing or sticker;5. MIDDELFART;6
Ballot with drawing, writing or sticker;6. NYBORG;3
Ballot with drawing, writing or sticker;7. SVENDBORG;6
Ballot with drawing, writing or sticker;8. FAABORG;5
Ballot with drawing, writing or sticker;SYDJYLLANDS STORKREDS;45
Ballot with drawing, writing or sticker;1. SØNDERBORG;3
Ballot with drawing, writing or sticker;2. AABENRAA;2
Ballot with drawing, writing or sticker;3. TØNDER;18
Ballot with drawing, writing or sticker;4. ESBJERG BY;2
Ballot with drawing, writing or sticker;5. ESBJERG OMEGN;3
Ballot with drawing, writing or sticker;6. VARDE;3
Ballot with drawing, writing or sticker;7. VEJEN;0
Ballot with drawing, writing or sticker;8. VEJLE NORD;0
Ballot with drawing, writing or sticker;9. VEJLE SYD;3
Ballot with drawing, writing or sticker;10. FREDERICIA;2
Ballot with drawing, writing or sticker;11. KOLDING NORD;2
Ballot with drawing, writing or sticker;12. KOLDING SYD;3
Ballot with drawing, writing or sticker;13. HADERSLEV;4
Ballot with drawing, writing or sticker;MIDTJYLLAND-NORDJYLLAND;146
Ballot with drawing, writing or sticker;ØSTJYLLANDS STORKREDS;72
Ballot with drawing, writing or sticker;1. ÅRHUS SYD;9
Ballot with drawing, writing or sticker;2. ÅRHUS VEST;8
Ballot with drawing, writing or sticker;3. ÅRHUS NORD;19
Ballot with drawing, writing or sticker;4. ÅRHUS ØST;16
Ballot with drawing, writing or sticker;5. DJURS;1
Ballot with drawing, writing or sticker;6. RANDERS NORD;1
Ballot with drawing, writing or sticker;7. RANDERS SYD;1
Ballot with drawing, writing or sticker;8. FAVRSKOV;1
Ballot with drawing, writing or sticker;9. SKANDERBORG;4
Ballot with drawing, writing or sticker;10. HORSENS;12
Ballot with drawing, writing or sticker;11. HEDENSTED;0
Ballot with drawing, writing or sticker;VESTJYLLANDS STORKREDS;36
Ballot with drawing, writing or sticker;9. HERNING NORD;0
Ballot with drawing, writing or sticker;10. HOLSTEBRO;1
Ballot with drawing, writing or sticker;11. RINGKØBING;3
Ballot with drawing, writing or sticker;1. STRUER;1
Ballot with drawing, writing or sticker;2. SKIVE;11
Ballot with drawing, writing or sticker;3. VIBORG VEST;2
Ballot with drawing, writing or sticker;4. VIBORG ØST;0
Ballot with drawing, writing or sticker;5. SILKEBORG NORD;5
Ballot with drawing, writing or sticker;6. SILKEBORG SYD;1
Ballot with drawing, writing or sticker;7. IKAST;8
Ballot with drawing, writing or sticker;8. HERNING SYD;4
Ballot with drawing, writing or sticker;NORDJYLLANDS STORKREDS;38
Ballot with drawing, writing or sticker;1. FREDERIKSHAVN;4
Ballot with drawing, writing or sticker;2. HJØRRING;3
Ballot with drawing, writing or sticker;3. BRØNDERSLEV;1
Ballot with drawing, writing or sticker;4. THISTED;3
Ballot with drawing, writing or sticker;5. HIMMERLAND;0
Ballot with drawing, writing or sticker;6. MARIAGERFJORD;0
Ballot with drawing, writing or sticker;7. AALBORG ØST;12
Ballot with drawing, writing or sticker;8. AALBORG VEST;3
Ballot with drawing, writing or sticker;9. AALBORG NORD;12
Written on the back of ballot, torn or other characteristics;All DENMARK;62
Written on the back of ballot, torn or other characteristics;HOVEDSTADEN;48
Written on the back of ballot, torn or other characteristics;KØBENHAVNS STORKREDS;37
Written on the back of ballot, torn or other characteristics;1. ØSTERBRO;1
Written on the back of ballot, torn or other characteristics;2. SUNDBYVESTER;2
Written on the back of ballot, torn or other characteristics;3. INDRE BY;4
Written on the back of ballot, torn or other characteristics;4. SUNDBYØSTER;4
Written on the back of ballot, torn or other characteristics;5. NØRREBRO;2
Written on the back of ballot, torn or other characteristics;6. BISPEBJERG;2
Written on the back of ballot, torn or other characteristics;7. BRØNSHØJ;17
Written on the back of ballot, torn or other characteristics;8. VALBY;5
Written on the back of ballot, torn or other characteristics;9. VESTERBRO;0
Written on the back of ballot, torn or other characteristics;10. FALKONER;0
Written on the back of ballot, torn or other characteristics;11. SLOTS;0
Written on the back of ballot, torn or other characteristics;12. TÅRNBY;0
Written on the back of ballot, torn or other characteristics;KØBENHAVNS OMEGNS STORKREDS;4
Written on the back of ballot, torn or other characteristics;1. GENTOFTE;1
Written on the back of ballot, torn or other characteristics;2. LYNGBY;2
Written on the back of ballot, torn or other characteristics;3. GLADSAXE;0
Written on the back of ballot, torn or other characteristics;4. RØDOVRE;0
Written on the back of ballot, torn or other characteristics;5. HVIDOVRE;0
Written on the back of ballot, torn or other characteristics;6. BRØNDBY;0
Written on the back of ballot, torn or other characteristics;7. TAASTRUP;1
Written on the back of ballot, torn or other characteristics;8. BALLERUP;0
Written on the back of ballot, torn or other characteristics;NORDSJÆLLANDS STORKREDS;7
Written on the back of ballot, torn or other characteristics;1. HELSINGØR;0
Written on the back of ballot, torn or other characteristics;2. FREDENSBORG;0
Written on the back of ballot, torn or other characteristics;3. HILLERØD;1
Written on the back of ballot, torn or other characteristics;4. FREDERIKSSUND;2
Written on the back of ballot, torn or other characteristics;5. EGEDAL;0
Written on the back of ballot, torn or other characteristics;6. RUDERSDAL;4
Written on the back of ballot, torn or other characteristics;BORNHOLMS STORKREDS;0
Written on the back of ballot, torn or other characteristics;1. RØNNE;0
Written on the back of ballot, torn or other characteristics;2. AAKIRKEBY;0
Written on the back of ballot, torn or other characteristics;SJÆLLAND-SYDDANMARK;7
Written on the back of ballot, torn or other characteristics;SJÆLLANDS STORKREDS;1
Written on the back of ballot, torn or other characteristics;1. LOLLAND;0
Written on the back of ballot, torn or other characteristics;2. GULDBORGSUND;1
Written on the back of ballot, torn or other characteristics;3. VORDINGBORG;0
Written on the back of ballot, torn or other characteristics;4. NÆSTVED;0
Written on the back of ballot, torn or other characteristics;5. FAXE;0
Written on the back of ballot, torn or other characteristics;6. KØGE;0
Written on the back of ballot, torn or other characteristics;7. GREVE;0
Written on the back of ballot, torn or other characteristics;8. ROSKILDE;0
Written on the back of ballot, torn or other characteristics;9. HOLBÆK;0
Written on the back of ballot, torn or other characteristics;10. KALUNDBORG;0
Written on the back of ballot, torn or other characteristics;11. RINGSTED;0
Written on the back of ballot, torn or other characteristics;12. SLAGELSE;0
Written on the back of ballot, torn or other characteristics;FYNS STORKREDS;0
Written on the back of ballot, torn or other characteristics;1. ODENSE ØST;0
Written on the back of ballot, torn or other characteristics;2. ODENSE VEST;0
Written on the back of ballot, torn or other characteristics;3. ODENSE SYD;0
Written on the back of ballot, torn or other characteristics;4. ASSENS;0
Written on the back of ballot, torn or other characteristics;5. MIDDELFART;0
Written on the back of ballot, torn or other characteristics;6. NYBORG;0
Written on the back of ballot, torn or other characteristics;7. SVENDBORG;0
Written on the back of ballot, torn or other characteristics;8. FAABORG;0
Written on the back of ballot, torn or other characteristics;SYDJYLLANDS STORKREDS;6
Written on the back of ballot, torn or other characteristics;1. SØNDERBORG;0
Written on the back of ballot, torn or other characteristics;2. AABENRAA;0
Written on the back of ballot, torn or other characteristics;3. TØNDER;2
Written on the back of ballot, torn or other characteristics;4. ESBJERG BY;0
Written on the back of ballot, torn or other characteristics;5. ESBJERG OMEGN;0
Written on the back of ballot, torn or other characteristics;6. VARDE;0
Written on the back of ballot, torn or other characteristics;7. VEJEN;1
Written on the back of ballot, torn or other characteristics;8. VEJLE NORD;0
Written on the back of ballot, torn or other characteristics;9. VEJLE SYD;2
Written on the back of ballot, torn or other characteristics;10. FREDERICIA;0
Written on the back of ballot, torn or other characteristics;11. KOLDING NORD;0
Written on the back of ballot, torn or other characteristics;12. KOLDING SYD;0
Written on the back of ballot, torn or other characteristics;13. HADERSLEV;1
Written on the back of ballot, torn or other characteristics;MIDTJYLLAND-NORDJYLLAND;7
Written on the back of ballot, torn or other characteristics;ØSTJYLLANDS STORKREDS;1
Written on the back of ballot, torn or other characteristics;1. ÅRHUS SYD;0
Written on the back of ballot, torn or other characteristics;2. ÅRHUS VEST;0
Written on the back of ballot, torn or other characteristics;3. ÅRHUS NORD;0
Written on the back of ballot, torn or other characteristics;4. ÅRHUS ØST;0
Written on the back of ballot, torn or other characteristics;5. DJURS;0
Written on the back of ballot, torn or other characteristics;6. RANDERS NORD;0
Written on the back of ballot, torn or other characteristics;7. RANDERS SYD;0
Written on the back of ballot, torn or other characteristics;8. FAVRSKOV;0
Written on the back of ballot, torn or other characteristics;9. SKANDERBORG;1
Written on the back of ballot, torn or other characteristics;10. HORSENS;0
Written on the back of ballot, torn or other characteristics;11. HEDENSTED;0
Written on the back of ballot, torn or other characteristics;VESTJYLLANDS STORKREDS;2
Written on the back of ballot, torn or other characteristics;9. HERNING NORD;0
Written on the back of ballot, torn or other characteristics;10. HOLSTEBRO;0
Written on the back of ballot, torn or other characteristics;11. RINGKØBING;0
Written on the back of ballot, torn or other characteristics;1. STRUER;1
Written on the back of ballot, torn or other characteristics;2. SKIVE;0
Written on the back of ballot, torn or other characteristics;3. VIBORG VEST;0
Written on the back of ballot, torn or other characteristics;4. VIBORG ØST;0
Written on the back of ballot, torn or other characteristics;5. SILKEBORG NORD;0
Written on the back of ballot, torn or other characteristics;6. SILKEBORG SYD;0
Written on the back of ballot, torn or other characteristics;7. IKAST;1
Written on the back of ballot, torn or other characteristics;8. HERNING SYD;0
Written on the back of ballot, torn or other characteristics;NORDJYLLANDS STORKREDS;4
Written on the back of ballot, torn or other characteristics;1. FREDERIKSHAVN;0
Written on the back of ballot, torn or other characteristics;2. HJØRRING;0
Written on the back of ballot, torn or other characteristics;3. BRØNDERSLEV;0
Written on the back of ballot, torn or other characteristics;4. THISTED;0
Written on the back of ballot, torn or other characteristics;5. HIMMERLAND;0
Written on the back of ballot, torn or other characteristics;6. MARIAGERFJORD;0
Written on the back of ballot, torn or other characteristics;7. AALBORG ØST;4
Written on the back of ballot, torn or other characteristics;8. AALBORG VEST;0
Written on the back of ballot, torn or other characteristics;9. AALBORG NORD;0
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);All DENMARK;3108
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);HOVEDSTADEN;1609
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);KØBENHAVNS STORKREDS;815
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. ØSTERBRO;79
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. SUNDBYVESTER;57
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);3. INDRE BY;79
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);4. SUNDBYØSTER;50
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);5. NØRREBRO;108
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);6. BISPEBJERG;71
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);7. BRØNSHØJ;76
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);8. VALBY;54
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);9. VESTERBRO;72
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);10. FALKONER;48
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);11. SLOTS;72
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);12. TÅRNBY;49
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);KØBENHAVNS OMEGNS STORKREDS;411
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. GENTOFTE;36
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. LYNGBY;25
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);3. GLADSAXE;125
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);4. RØDOVRE;34
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);5. HVIDOVRE;24
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);6. BRØNDBY;40
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);7. TAASTRUP;51
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);8. BALLERUP;76
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);NORDSJÆLLANDS STORKREDS;368
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. HELSINGØR;80
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. FREDENSBORG;44
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);3. HILLERØD;44
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);4. FREDERIKSSUND;56
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);5. EGEDAL;69
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);6. RUDERSDAL;75
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);BORNHOLMS STORKREDS;15
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. RØNNE;9
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. AAKIRKEBY;6
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);SJÆLLAND-SYDDANMARK;759
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);SJÆLLANDS STORKREDS;393
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. LOLLAND;22
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. GULDBORGSUND;35
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);3. VORDINGBORG;12
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);4. NÆSTVED;26
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);5. FAXE;30
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);6. KØGE;29
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);7. GREVE;32
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);8. ROSKILDE;88
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);9. HOLBÆK;23
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);10. KALUNDBORG;30
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);11. RINGSTED;32
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);12. SLAGELSE;34
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);FYNS STORKREDS;169
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. ODENSE ØST;45
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. ODENSE VEST;30
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);3. ODENSE SYD;46
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);4. ASSENS;4
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);5. MIDDELFART;8
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);6. NYBORG;3
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);7. SVENDBORG;18
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);8. FAABORG;15
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);SYDJYLLANDS STORKREDS;197
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. SØNDERBORG;9
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. AABENRAA;5
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);3. TØNDER;12
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);4. ESBJERG BY;34
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);5. ESBJERG OMEGN;29
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);6. VARDE;13
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);7. VEJEN;4
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);8. VEJLE NORD;21
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);9. VEJLE SYD;33
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);10. FREDERICIA;0
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);11. KOLDING NORD;17
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);12. KOLDING SYD;0
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);13. HADERSLEV;20
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);MIDTJYLLAND-NORDJYLLAND;740
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);ØSTJYLLANDS STORKREDS;432
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. ÅRHUS SYD;60
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. ÅRHUS VEST;66
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);3. ÅRHUS NORD;74
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);4. ÅRHUS ØST;87
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);5. DJURS;20
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);6. RANDERS NORD;24
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);7. RANDERS SYD;19
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);8. FAVRSKOV;22
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);9. SKANDERBORG;35
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);10. HORSENS;15
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);11. HEDENSTED;10
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);VESTJYLLANDS STORKREDS;168
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);9. HERNING NORD;7
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);10. HOLSTEBRO;10
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);11. RINGKØBING;10
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. STRUER;8
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. SKIVE;32
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);3. VIBORG VEST;28
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);4. VIBORG ØST;0
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);5. SILKEBORG NORD;3
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);6. SILKEBORG SYD;32
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);7. IKAST;22
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);8. HERNING SYD;16
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);NORDJYLLANDS STORKREDS;140
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);1. FREDERIKSHAVN;20
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);2. HJØRRING;14
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);3. BRØNDERSLEV;18
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);4. THISTED;14
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);5. HIMMERLAND;12
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);6. MARIAGERFJORD;9
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);7. AALBORG ØST;15
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);8. AALBORG VEST;17
ABSENTEE BALLOTS NOT CONSIDERED (RECEIVED BEFORE DEADLINE);9. AALBORG NORD;21
Voter not registered on list of voters;All DENMARK;709
Voter not registered on list of voters;HOVEDSTADEN;476
Voter not registered on list of voters;KØBENHAVNS STORKREDS;360
Voter not registered on list of voters;1. ØSTERBRO;36
Voter not registered on list of voters;2. SUNDBYVESTER;32
Voter not registered on list of voters;3. INDRE BY;49
Voter not registered on list of voters;4. SUNDBYØSTER;21
Voter not registered on list of voters;5. NØRREBRO;65
Voter not registered on list of voters;6. BISPEBJERG;36
Voter not registered on list of voters;7. BRØNSHØJ;24
Voter not registered on list of voters;8. VALBY;15
Voter not registered on list of voters;9. VESTERBRO;41
Voter not registered on list of voters;10. FALKONER;7
Voter not registered on list of voters;11. SLOTS;28
Voter not registered on list of voters;12. TÅRNBY;6
Voter not registered on list of voters;KØBENHAVNS OMEGNS STORKREDS;54
Voter not registered on list of voters;1. GENTOFTE;0
Voter not registered on list of voters;2. LYNGBY;10
Voter not registered on list of voters;3. GLADSAXE;0
Voter not registered on list of voters;4. RØDOVRE;6
Voter not registered on list of voters;5. HVIDOVRE;6
Voter not registered on list of voters;6. BRØNDBY;6
Voter not registered on list of voters;7. TAASTRUP;11
Voter not registered on list of voters;8. BALLERUP;15
Voter not registered on list of voters;NORDSJÆLLANDS STORKREDS;62
Voter not registered on list of voters;1. HELSINGØR;9
Voter not registered on list of voters;2. FREDENSBORG;5
Voter not registered on list of voters;3. HILLERØD;0
Voter not registered on list of voters;4. FREDERIKSSUND;6
Voter not registered on list of voters;5. EGEDAL;22
Voter not registered on list of voters;6. RUDERSDAL;20
Voter not registered on list of voters;BORNHOLMS STORKREDS;0
Voter not registered on list of voters;1. RØNNE;0
Voter not registered on list of voters;2. AAKIRKEBY;0
Voter not registered on list of voters;SJÆLLAND-SYDDANMARK;91
Voter not registered on list of voters;SJÆLLANDS STORKREDS;28
Voter not registered on list of voters;1. LOLLAND;0
Voter not registered on list of voters;2. GULDBORGSUND;7
Voter not registered on list of voters;3. VORDINGBORG;0
Voter not registered on list of voters;4. NÆSTVED;2
Voter not registered on list of voters;5. FAXE;10
Voter not registered on list of voters;6. KØGE;3
Voter not registered on list of voters;7. GREVE;0
Voter not registered on list of voters;8. ROSKILDE;0
Voter not registered on list of voters;9. HOLBÆK;0
Voter not registered on list of voters;10. KALUNDBORG;1
Voter not registered on list of voters;11. RINGSTED;5
Voter not registered on list of voters;12. SLAGELSE;0
Voter not registered on list of voters;FYNS STORKREDS;25
Voter not registered on list of voters;1. ODENSE ØST;0
Voter not registered on list of voters;2. ODENSE VEST;0
Voter not registered on list of voters;3. ODENSE SYD;24
Voter not registered on list of voters;4. ASSENS;0
Voter not registered on list of voters;5. MIDDELFART;0
Voter not registered on list of voters;6. NYBORG;0
Voter not registered on list of voters;7. SVENDBORG;0
Voter not registered on list of voters;8. FAABORG;1
Voter not registered on list of voters;SYDJYLLANDS STORKREDS;38
Voter not registered on list of voters;1. SØNDERBORG;1
Voter not registered on list of voters;2. AABENRAA;0
Voter not registered on list of voters;3. TØNDER;4
Voter not registered on list of voters;4. ESBJERG BY;3
Voter not registered on list of voters;5. ESBJERG OMEGN;0
Voter not registered on list of voters;6. VARDE;0
Voter not registered on list of voters;7. VEJEN;2
Voter not registered on list of voters;8. VEJLE NORD;3
Voter not registered on list of voters;9. VEJLE SYD;14
Voter not registered on list of voters;10. FREDERICIA;0
Voter not registered on list of voters;11. KOLDING NORD;11
Voter not registered on list of voters;12. KOLDING SYD;0
Voter not registered on list of voters;13. HADERSLEV;0
Voter not registered on list of voters;MIDTJYLLAND-NORDJYLLAND;142
Voter not registered on list of voters;ØSTJYLLANDS STORKREDS;105
Voter not registered on list of voters;1. ÅRHUS SYD;21
Voter not registered on list of voters;2. ÅRHUS VEST;19
Voter not registered on list of voters;3. ÅRHUS NORD;22
Voter not registered on list of voters;4. ÅRHUS ØST;28
Voter not registered on list of voters;5. DJURS;0
Voter not registered on list of voters;6. RANDERS NORD;0
Voter not registered on list of voters;7. RANDERS SYD;0
Voter not registered on list of voters;8. FAVRSKOV;0
Voter not registered on list of voters;9. SKANDERBORG;11
Voter not registered on list of voters;10. HORSENS;0
Voter not registered on list of voters;11. HEDENSTED;4
Voter not registered on list of voters;VESTJYLLANDS STORKREDS;27
Voter not registered on list of voters;9. HERNING NORD;0
Voter not registered on list of voters;10. HOLSTEBRO;1
Voter not registered on list of voters;11. RINGKØBING;4
Voter not registered on list of voters;1. STRUER;3
Voter not registered on list of voters;2. SKIVE;1
Voter not registered on list of voters;3. VIBORG VEST;3
Voter not registered on list of voters;4. VIBORG ØST;0
Voter not registered on list of voters;5. SILKEBORG NORD;0
Voter not registered on list of voters;6. SILKEBORG SYD;15
Voter not registered on list of voters;7. IKAST;0
Voter not registered on list of voters;8. HERNING SYD;0
Voter not registered on list of voters;NORDJYLLANDS STORKREDS;10
Voter not registered on list of voters;1. FREDERIKSHAVN;0
Voter not registered on list of voters;2. HJØRRING;3
Voter not registered on list of voters;3. BRØNDERSLEV;5
Voter not registered on list of voters;4. THISTED;1
Voter not registered on list of voters;5. HIMMERLAND;0
Voter not registered on list of voters;6. MARIAGERFJORD;0
Voter not registered on list of voters;7. AALBORG ØST;0
Voter not registered on list of voters;8. AALBORG VEST;1
Voter not registered on list of voters;9. AALBORG NORD;0
Voter dead before election day;All DENMARK;68
Voter dead before election day;HOVEDSTADEN;33
Voter dead before election day;KØBENHAVNS STORKREDS;9
Voter dead before election day;1. ØSTERBRO;0
Voter dead before election day;2. SUNDBYVESTER;0
Voter dead before election day;3. INDRE BY;0
Voter dead before election day;4. SUNDBYØSTER;1
Voter dead before election day;5. NØRREBRO;2
Voter dead before election day;6. BISPEBJERG;0
