,areaname,population,date,newcasesbypublishdate,cases_per_100k
3491,South West,5616000,02/01/2021,3093,55.074786324786324
1883,North East,2597000,02/01/2021,1737,66.88486715440894
5192,Northern Ireland,1885000,02/01/2021,3576,189.70822281167108
2955,South East,9175000,02/01/2021,8349,90.99727520435968
2419,North West,7300000,02/01/2021,4040,55.34246575342466
5792,Scotland,5454000,02/01/2021,2137,39.182251558489185
275,East Midlands,4533000,02/01/2021,3151,69.51246415177587
1347,London,8899375,02/01/2021,13178,148.07781445326216
4027,West Midlands,2928000,02/01/2021,6421,219.29644808743168
2388,North West,7300000,02/02/2021,2319,31.767123287671232
1852,North East,2597000,02/02/2021,753,28.994994224104737
5161,Northern Ireland,1885000,02/02/2021,447,23.713527851458885
3460,South West,5616000,02/02/2021,876,15.598290598290598
244,East Midlands,4533000,02/02/2021,1439,31.744981248621222
3996,West Midlands,2928000,02/02/2021,1962,67.00819672131148
4554,Wales,3136000,02/02/2021,614,19.57908163265306
780,East of England,5847000,02/02/2021,1753,29.981186933470152
5761,Scotland,5454000,02/02/2021,758,13.898056472313899
1316,London,8899375,02/02/2021,2765,31.069597584100006
2924,South East,9175000,02/02/2021,1910,20.817438692098094
6098,Scotland,5454000,02/03/2020,1,0.018335166850018337
4891,Wales,3136000,02/03/2020,0,0.0
752,East of England,5847000,02/03/2021,495,8.465879938429964
1288,London,8899375,02/03/2021,629,7.067912072477
5733,Scotland,5454000,02/03/2021,542,9.937660432709938
216,East Midlands,4533000,02/03/2021,623,13.743657621883962
3432,South West,5616000,02/03/2021,276,4.914529914529915
1824,North East,2597000,02/03/2021,305,11.744320369657297
2360,North West,7300000,02/03/2021,889,12.178082191780822
2896,South East,9175000,02/03/2021,805,8.773841961852861
4526,Wales,3136000,02/03/2021,170,5.420918367346939
5133,Northern Ireland,1885000,02/03/2021,149,7.904509283819629
3968,West Midlands,2928000,02/03/2021,677,23.121584699453553
5467,Northern Ireland,1885000,02/04/2020,85,4.509283819628647
6067,Scotland,5454000,02/04/2020,292,5.353868720205353
4860,Wales,3136000,02/04/2020,284,9.056122448979592
